"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Operator","[Operator Instructions] Good day, and welcome to the ADNOC Distribution Q4 and full year 2019 Analyst and Investor Conference Call. Today's conference is being recorded. At this time, I would like to turn the conference over to Nada Amin. Please go ahead.",42,"[Operator Instructions] Good day, and welcome to the ADNOC Distribution Q4 and full year 2019 Analyst and Investor Conference Call. Today's conference is being recorded. At this time, I would like to turn the conference over to Nada Amin. Please go ahead."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Shareholders","Thank you, Lisa. Hello, everyone. My name is Nada Amin. I'm part of EFG's consumer and health care team. It's our pleasure today to be hosting ADNOC conference call. On line from the company's management, we have Mr. Ahmed Shamsi, CEO; Mr. Mohamed Al Hash",63,"Thank you, Lisa. Hello, everyone. My name is Nada Amin. I'm part of EFG's consumer and health care team. It's our pleasure today to be hosting ADNOC conference call. On line from the company's management, we have Mr. Ahmed Shamsi, CEO; Mr. Mohamed Al Hashemi, COO; Mr. Petri Pentti, CFO; and Mr. Athmane Benzerroug, Company's Chief Investor Relations Officer. Please go ahead, gentlemen."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Hi, everyone. Good afternoon, and good morning, and welcome to the ADNOC Distribution conference call for the fourth quarter and year 2019 results. This is Athmane Benzerroug, Chief Investor Relation Officer. I'm pleased to welcome the team for this call.",216,"Hi, everyone. Good afternoon, and good morning, and welcome to the ADNOC Distribution conference call for the fourth quarter and year 2019 results. This is Athmane Benzerroug, Chief Investor Relation Officer. I'm pleased to welcome the team for this call. The purpose of this code is to take you through our full year 2019 results and Q4 2019. We will start with a brief overview of our results, strategy and our outlook for 2020. We will then discuss in detail our strategy update and the financial performance for the fourth quarter and the full year 2019. And finally, move to the outlook for 2020. We will then answer questions you would have. So before hang over the call to Ahmed, please allow me to reiterate our cautionary statement regarding forward-looking statements. This presentation includes forward-looking statements relating to our business. Important factors that could cause actual results to differ materially from our expectations are detailed in the international offering memorandum relating to our IPO and in our other investor communications, all of which are available on our website. So I direct everyone to our website to read the full text of this disclaimer and this other material. I will now hand over to Ahmed, who will start by presenting the key highlights for the full year."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you, Athmane. And good afternoon, and good morning, everyone. Thank you for joining us today. I'm pleased to be hosting my [indiscernible] call with you. I humbly recognize the responsibilities placed and need to drive the business to new heights. S",508,"Thank you, Athmane. And good afternoon, and good morning, everyone. Thank you for joining us today. I'm pleased to be hosting my [indiscernible] call with you. I humbly recognize the responsibilities placed and need to drive the business to new heights. Somebody coming from -- somebody coming in from outside ADNOC Distribution, I hope to bring fresh perspective how to create further value. Placing our customers and our employees at the heart of everything we do.
In short, my 2 key objectives are driving further growth and delivering solid shareholder returns. For those who don't know my background, my expertise is an asset optimization and marketing products on an international scale in the downstream industry. I was also very much involved in a number of large-scale and successful transformation initiatives with Enbridge, my former company. I'm looking forward to interacting with you in the coming months. The day, I want to run you through a solid full year performance and further progress on our growth strategy. I would like to reiterate that Cary remains a core value to our business. We continue to enhance and invest in safety solutions evidenced by extremely low lost time injury frequency and total reportable energy during 2019. I will provide key highlights of our fourth quarter and full year 2019 performance. We saw a solid operational performance in both fuel and nonfuel businesses. Our net profit increased by 11.3% to USD 135 million in Q4 2019 for the first times since the IPO. In Q3 2019, we witnessed growth in retail fuel volumes, which represents around 70% of our total volumes. We saw this continue in the fourth quarter of 2019, representing a 1.2% year-on-year growth. For full year 2019, net profit increased by 4.2% and to USD 604 million compared to 2018.
We continue to adapt to our customers' needs, offering them innovative solutions, a seamless digital experience and smart payment solutions. Our recent offering of 3 assets at Fueling recently unveiled innovative next-generation fuel as well as retail stations adblocking, new reality program at no rewards and our next-generation ADNOC Oasis convenience stores, reflect our true commitment towards our customers. These initiatives would also position us to effectively tackle competition with superior customer offering, faster, more efficient deployment to our fuel station to our fuel stations, while optimizing Capex.
Finally, the company generated strong free cash flows of USD 635 million in 2019, increasing by 16.4% compared to 2018, which supports our progressive dividend policy. Our board recommended yesterday a cash dividend of USD 325 million or [ USD 9.55 ] per share for the second half of 2019, taking full year 2019 dividend to USD 650 million a 62% increase over the previous year, demonstrating confidence in our ability to generate cash and our strong financial position.
Finally, for 2020, our priorities are creating superior customer experience and delivering on our accelerated expansion plan to drive profitable earnings growth and obtains to our shareholders.
I will now let Mohamed give you an update and more color on our strategy."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you, Ahmed. Two things I want to point out that we are focused on now. One, delivering our ambitious strategy and to building long-term shareholder value through our next phase of growth. So first off, I'm going to start off by giving you an update",812,"Thank you, Ahmed. Two things I want to point out that we are focused on now. One, delivering our ambitious strategy and to building long-term shareholder value through our next phase of growth. So first off, I'm going to start off by giving you an update on the first strategic pillar of our business, which is the fuel segment. Total fuel volumes have increased by 2% in the fourth quarter of 2019 compared to fourth quarter of 2018. Now this was driven by an improvement in our core Abu Dhabi market as well as market share gains in the Northern Emirates following the implementation of free assisted fueling for all our customers. We also saw an increase due to the contribution from new stations in Dubai as well as new marketing campaigns and growth in our corporate business. So throughout 2019, we introduced a series of customer-focused initiatives. All of these initiatives were introduced to enhance the overall customer experience and offer superior customer services.
So 3 marketing campaigns were launched in the summer. One was Good Morning UAE, the second one was Fuel Up & Fly Off, and the third one was Hello Summer. The intention here was to drive higher traffic to the ADNOC Distribution service stations. Now these marketing campaigns were a huge success. They generated growth as far as retail fuel volumes. But also, they allowed us to gain really good insight into our customers' needs. So based on the feedback from this extensive customer engagement program, and from our customer behavior following the 3 marketing campaigns, we began offering free assisted fueling to all our customers from the third of November 2019. This has been very, very well received by our customers. It's driven growth in retail fuel volumes, which have grown by 1.2% year-on-year in Q4 2019. Now this was in line with our guidance to the market. Q4 2019 retail fuel volumes growth reflect positive impact of free assisted fueling for 2 months. Now we expect the full benefit of volume growth to be visible starting in Q1 2020. Coming back to our network expansion, our UAE network has now reached 382 retail fuel stations as of December 31, 2019.
In 2019, we've opened 6 new stations in UAE, of which 3 were in Dubai, bringing the total number of fuel stations we operate in Dubai to 6 as of December 31, 2019.
Now in our third quarter 2019 results conference call, we indicated that our domestic network expansion would accelerate starting 2020. After obtaining necessary approvals as well as awarding construction contracts last year, we're now in a position to accelerate deployment of our network plan, as guided earlier. So in our corporate business, we also witnessed strong growth across all our products on the back of dynamic product pricing strategy as well as increase in our market share in Dubai and the Northern Emirates.
On the international expansion front, our strategy is in full execution mode with the establishment of legal entities and ongoing discussions with several players. Now we will announce in due course to the market, more updates in line with our commitment to best disclosure standards and regulatory compliance.
Moving onto nonfuel retail, the second pillar of our strategy. Our UAE network increased to 264 convenience stores as of December 31, 2019, and with the addition of 14 new convenient stores in the UAE in 2019. Our convenience store revitalization program offers our customers have very improved shopping experience. Now this is underway and has already started contributing to strong convenience store performance. Our convenient store gross profit increased by 20.6% year-on-year. And we also witnessed a significant uplift in average basket size by 5% in 2019 compared to 2018. In the fourth quarter of 2019, we unveiled our next-generation ADNOC Oasis convenience store with a fresh look and feel, upgraded amenities that a family-friendly environment. The new stores also offer fresh food choices, premium coffee and on-site bakery and convenient digital payment options. So far, we're very encouraged by positive results from our newly refurbished store.
Last but not least, I'm going to give you an update on our cost efficiency initiative, which remains the third pillar of our strategic [indiscernible]. So we achieved a reduction of USD 46 million in like-for-like operating expenditure in 2019 compared to 2018. But during 2018 and '19, it brings the total to approximately USD 100 million in like-for-like operating expenditure savings. This is fully in line with our guidance to the market. In terms of capital expenditure, we've spent USD 138 million of CapEx in 2019, which is slightly lower than our guidance before. However, as we pointed out, we expect acceleration in CapEx in 2020, which reflects our ambitious new network delivery schedule.
So at this point, I will hand over to Petri to present the highlights of our financial performance."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Good morning, good afternoon, everyone, and many thanks, Mohamed. As Ahmed already mentioned, we delivered solid financial and operational performance in Q4 as well as in 2019. Q4 net profit increased by 11.3% to USD 135 million compared to USD 221 millio",954,"Good morning, good afternoon, everyone, and many thanks, Mohamed. As Ahmed already mentioned, we delivered solid financial and operational performance in Q4 as well as in 2019. Q4 net profit increased by 11.3% to USD 135 million compared to USD 221 million in Q4 2018. This was driven by growth in the total fuel volumes, strong results in our nonfuel business as well as successful customer initiatives and cost optimization efforts. 2019 net profit increased by 4.2% to USD 604 million compared to USD 579 million in 2018, driven by recovery in fuel volumes, growth in our corporate business, continued momentum in our nonfuel business and reduction in operating costs, which were partially offset by lower inventory gains in 2019.
The underlying EBITDA, which is measured by EBITDA, excluding inventory gains in 2019 was USD 740 million, representing a 7.2% increase compared to 2018. Inventory gains, as mentioned, well over at USD 33 million compared to 2018 when we reached USD 65 million in inventory cash.
We continue to make good progress in rationalizing our Opex, achieving the USD 46 million savings in like-for-like OpEx, representing a 7.4% reduction on a like-for-like basis. On the CapEx side, in 2019, we've been focusing on defining a network expansion allocation and strategy. Our network rollout is scheduled for operational deployment in the first half of 2020 and beyond. Our CapEx in 2019 was USD 138 million. And finally, we generated very strong free cash flow, measured as EBITDA minus CapEx. Free cash flow increased by 16.4% year-on-year to USD 635 million, driven by strong cash flows from operations as well as lower CapEx.
Let me now briefly walk you through the key operational highlights for 2019. As already mentioned earlier, total fuel volumes sold increased by 0.7% compared to 2018, driven by growth in corporate and aviation fuel volumes and growth in retail fuel volumes in the second half of 2019. We are very pleased to report that we have now recorded 2 successive quarters of growth in our retail fuel volumes, which grew by 1.2% in Q4 2019. As Mohamed already pointed out, the benefits of implementing free assisted fueling are not fully reflected in Q4 2019, as this decision only came into the effect on 3rd of November, i.e., for less than 2 months of the quarter. Our core retail market here in Abu Dhabi, continued to show growth, while we also gained market share in the Northern Emirates as well as in Dubai.
On the corporate segment side, volumes increased in 2019 by 6% compared to '18, driven by higher sales of diesel, LPG, lubricant and base oils. Our aviation segment volumes are sold to strategic customers increased by 3.8% compared to 2018.
And finally, in the nonfuel business, as mentioned, we continue to see very good momentum throughout the year with strong increase in transactions as well as an uplift in average basket size.
Now let me make a few comments and remarks on gross profit performance by segment. Fuel retail gross profit decreased in 2019 by 5.9%, driven by lower volumes as well as lower inventory gains, as mentioned. However, retail fuel volumes started to grow beginning Q3. And fuel retail gross profit increased by 6.7% in Q4 compared to Q4 2018. This was also a result of higher margins following the renegotiation of our fuel supply contract effective in November 2019. As we see a continued pickup in volumes in 2020, we are expecting to see further improvement in retail fuel gross profit.
Gross profit for nonfuel retail, mainly C-stores or convenience stores continued to show strong momentum and increased by 11.8% year-on-year in 2019. This is reflecting our diversification strategy towards nonfuel retail as well as the implementation of new initiatives to improve customer shopping experience including also a much more focused stores revitalization program.
In the corporate segment, gross profit increased by 10.8% year-on-year on the back of the increase in volumes as well as higher margins. And finally, aviation gross profit decreased by 2.7% year-on-year.
Moving onto EBITDA per segment. Our retail segment EBITDA increased by 3.4%, mainly driven by higher operating efficiencies as well as better nonfuel performance despite the lower volumes as well as lower inventory gains, as mentioned. In the corporate segment, EBITDA increased by 10.2% year-on-year, driven by higher volumes, margins as well as cost efficiency. I'd like to note that corporate segment EBITDA actually declined in Q4 despite higher gross profit. This was mainly due to the presence of one of receivables recovery that we recovered in Q4 2018. Aviation EBITDA increased by 7.7%, driven by higher cost efficiencies.
At this point in time, I would also like to highlight that from Q1 2020 onwards, we will introduce new segment reporting structure, which is based on a natural characterization of our businesses into 2 pockets of retail, B2C as well as commercial B2B segments. As a reference, we've included as an appendix to the 2019 management discussion and analysis report, the quarterly as well as full year results of 2019 as per the new segment reporting structure.
Finally, looking at the cash movements. Net cash generated from operating activities has increased mainly due to robust cash flow from operations, partially offset by negative movement in working capital, mainly as a result of reduction in payment terms under the principal retail fuel supply agreement from 60 days to 30 days, as disclosed already in our Q3 2019 results. Strong cash flow generation has resulted in a very low net debt-to-EBITDA ratio of 0.26x at the end of the year as well as the cash position of approximately USD 1.3 billion.
Now let me hand it back over to Ahmed for the closing remarks."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you, Mohamed and Petri. As mentioned during today's presentation, we have delivered solid underlying results in 2019. For 2020, we are focusing to deliver on our accelerated expansion plan in both fuel and nonfuel businesses to drive profitable earn",531,"Thank you, Mohamed and Petri. As mentioned during today's presentation, we have delivered solid underlying results in 2019. For 2020, we are focusing to deliver on our accelerated expansion plan in both fuel and nonfuel businesses to drive profitable earnings growth and returns for our shareholders. After a 7.2% year-on-year underlining EBITDA growth in 2019, we are focused on continuing to grow EBITDA across our businesses, to pursue cost optimization and margin improvement initiatives and to maintain growth momentum.
Coming to further details on our guidance. Starting with fuel business, we are targeting to open at least 60 new stations, including a mix of traditional and ADNOC on-the-go stations. In Dubai, we plan to open between 20 to 25 new stations, most of which will be traditional stations. We have made good progress on the awarding of contracts for these stations, which gives us confidence in achieving our targets. We anticipate our Dubai expansion will bring market share gains and contribute to higher growth in retail fuel volumes starting in 2020.
We expect overall fuel volume growth of low single digits in 2020. Retail growth is expected to be driven by market growth, recovery of volumes and the Northern Emirates and gain in market share in Dubai. In commercial business, we have signed new contracts with our corporate clients and thus expect to sustain volume growth in 2020.
In nonfuel business, in 2020, we will accelerate our convenience store revitalization program [ 200 of ] our stores with a focus of refurbishment and a refreshed look and feel. We will also continue to enhance and improve the overall customer experience with further improvements on category management and introduction of new fresh food and great coffee products with high margins. We will also add further enhancements to our customer-centric offerings with more benefits expected under our new loyalty program ADNOC Rewards as well as on the back of station optimization across our network, which will focus on enhancing the use of space to maximize revenue potential. For cost efficiency, in line with our previous guidance, we are targeting to realize further like-for-like OpEx savings of approximately USD 100 million over 2020 to 2023 period, of which up to USD 25 million is expected in 2020. In terms of Capex, we plan to spend USD 300 million to USD 400 million of CapEx in 2020, which is significantly higher than in 2019, reflecting our ambitious new stations delivery schedule.
For 2020, we expect to pay USD 700 million in debit as per approved dividend policy and subject to board and shareholder approval. Half of this dividend was paid in October 2020, and the second half would be paid in April 2021.
Before concluding, I would like to reiterate our commitment to our shareholders. We continue to transform ADNOC Distribution into a world-class, customer-focused, commercially-driven company with a determined focus on driving profitable growth. As we sharpen our focus on customer experience and pursue growth opportunities, both domestically and internationally. We will expand all our distribution channels to reach larger market segments and sustained volume growth.
This concludes today's presentation. We are happy to take on any questions that you may have. Thank you."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Operator","[Operator Instructions] We will now take the first question from Taher Safieddine from Citi.",14,"[Operator Instructions] We will now take the first question from Taher Safieddine from Citi."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","Thank you for taking the time. This is Taher from Citi Group. A couple of questions, if I may. Just to start one more mechanical, just running through the retail gross profit per liter in Q4 versus Q4 2018. I mean, it just indicates that the margin per li",386,"Thank you for taking the time. This is Taher from Citi Group. A couple of questions, if I may. Just to start one more mechanical, just running through the retail gross profit per liter in Q4 versus Q4 2018. I mean, it just indicates that the margin per liter is going down, assuming that you've booked 0 inventory gains in Q4 '19. And if I'm not mistaken, around USD 16 million in inventory losses in Q4 '18. I just want to know if I'm missing something? I mean, we should assume margin per liter should be up given that the cost of supply structure changed in November. So if you can just help me reconcile the numbers on that front? So that's the first question. The other question is on the volume growth. I mean, again, a good quarter in terms of retail volume growth on a year-over-year basis. Can we just get more clarity on the drivers of this growth? You mentioned Abu Dhabi is positive. Northern Emirates, you took market share, and Dubai is supporting. Can we get some more details in terms of the extent of growth in Abu Dhabi on a stand-alone in terms of how much market share are you gaining in Northern Emirates? And I think the most interesting out of it is, how are the Dubai stations performing in terms of throughput per station or potentially contribution to this total volume, if you can disclose that? And my third question is on the working capital. It just feels that the working capital pressures continue into 2019, and this is mainly maybe related to the change in the payment terms. Should we expect this trend to continue into 2020 in terms of negative working capital cash flow -- on your cash flow statement? And the last one, I think the COO was quoted on Bloomberg talking about growth markets being India, Saudi Arabia and Egypt. On Saudi, is there any update on how you're looking to expand into the market, assuming that now the margin structure has changed? And keeping in mind that everyone wants to be in Saudi Arabia, including Aramco, which is now apparently doing fuel retail. So maybe your thoughts on the growth angle in Saudi? Sorry, it's lots of questions, but that's it from my end."
20726319,653906123,1906791,"Abu Dhabi National Oil Company for Distribution PJSC, Q4 2019 Earnings Call, Feb 12, 2020",2020-02-12,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Okay. Thanks, Taher, as always, no worries. So I will give the floor first of all to Petri to answer your question regarding the retail gross profit per liter, and then we'll take the other questions.",36,"Okay. Thanks, Taher, as always, no worries. So I will give the floor first of all to Petri to answer your question regarding the retail gross profit per liter, and then we'll take the other questions."
