"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Operator","Ladies and gentlemen, welcome to the ADNOC Distribution Quarter 2 2019 Analyst and Investor Conference Call and Webcast on the 5th of August 2019. If you're a member of media, please disconnect from this call now. [Operator Instructions] I would now like",60,"Ladies and gentlemen, welcome to the ADNOC Distribution Quarter 2 2019 Analyst and Investor Conference Call and Webcast on the 5th of August 2019. If you're a member of media, please disconnect from this call now. [Operator Instructions] I would now like to hand the call over to Faisal Al Azmeh, Executive Director at Goldman Sachs. Please go ahead, sir."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Attendees","Thank you. Good morning and good afternoon, everyone. This is Faisal Azmeh of Goldman Sachs and I'd like to welcome you all to ADNOC Distribution's 2019 Second Quarter Results Conference Call. It is my pleasure to host the company's executive management t",80,"Thank you. Good morning and good afternoon, everyone. This is Faisal Azmeh of Goldman Sachs and I'd like to welcome you all to ADNOC Distribution's 2019 Second Quarter Results Conference Call. It is my pleasure to host the company's executive management team today. The call will start with management's comments on the quarter and the first half, followed by a Q&A session. Without further delay, I'll hand it over now to Athmane Benzerroug, the Chief Investor Relations Officer of ADNOC."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Yes, hi, everyone. Good morning and good afternoon. This is Athmane Benzerroug. So I'm pleased to welcome this afternoon Saeed Mubarak Al Rashdi, our Chief Executive Officer; Mohammad Al Hashmi, our new Chief Operating Officer; and Petri Pentti, our Chief",221,"Yes, hi, everyone. Good morning and good afternoon. This is Athmane Benzerroug. So I'm pleased to welcome this afternoon Saeed Mubarak Al Rashdi, our Chief Executive Officer; Mohammad Al Hashmi, our new Chief Operating Officer; and Petri Pentti, our Chief Financial Officer. The objective of the call is to take you through our second quarter and first half results for 2019. 
We will start with a brief update on our strategy. We will then provide details on the financial performance of the second quarter and the first half of 2019, and finally, move on to the outlook for 2019 and beyond. So we will then answer any questions you might have at the end of this presentation. Before handing over to -- the call to Saeed, please allow me to reiterate our cautionary statement regarding forward-looking statements. So this presentation includes forward-looking statements relating to our business, important factors that could cause actual results to differ materially from our expectations audited in the international offering memorandum related to our IPO and in other investor communications, all of which are available on our website. So I direct everyone to our website to read the full text of this disclaimer  and these other materials. I now hand it over to Saeed, who will start by presenting the key highlights of the first half."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thank you, Adnan, and good morning and good afternoon, everyone. Thank you for joining us today. Please allow me to start first by introducing Mohammad Al Hashmi, our new Chief Operating Officer, who has joined our leadership team to focus on execution of",447,"Thank you, Adnan, and good morning and good afternoon, everyone. Thank you for joining us today. Please allow me to start first by introducing Mohammad Al Hashmi, our new Chief Operating Officer, who has joined our leadership team to focus on execution of the company's ambition growth strategy. 
Mohamed is replacing John Carey, who has recently elected to step down as Deputy CEO, but he will continue in an advisory capacity for the time being. Joined at a time of our IPO and has provided an excellent concept and leadership to our business as we successfully completed our [indiscernible] of the security exchange. 
I would like to place on record our thanks to John for his dedicated efforts during an important period of the company's growth and evolution. Before we go into the first half highlights, I would like to reiterate that safety remains a core value to our business. We continue to enhance investment safety solutions. 
So in terms of financial performance, we have delivered a 2.8% increase in EBITDA to USD 404 million in the first of 2019 versus the same period in 2018. Excluding inventory gains, EBITDA grew by 11% to USD 371 million in the first half of 2019 and that is mainly driven by continued cost efficiency improvements across the business and better corporate and nonfuel performance. 
We have also shown continued momentum with the first half of 2019 EBITDA margin, reaching 14.4%, up from the 13.2% during the same period last year. We also made significant progress in our cost savings, with OpEx of USD 36 million on like-to-like basis in the first half of 2019. 
During the first half, we added 3 new service stations and 12 new convenience stores to our current footprint. We are on track to deliver on our transformation initiative and growth plans. During the remainder of 2019, we are focused on the acceleration of our domestic growth network expansion particularly in Dubai and the growth of our own nonfuel business to provide superior experience to our customers. We also continue to explore opportunities to grow internationally, including Saudi Arabia in markets that we deliver against our investment criteria of [ 13% ] IRR threshold. 
Cost efficiencies also remain a core focus, and we will continue to improve our OpEx and CapEx plans. Finally, we try to continue to deliver strong and sustainable growth, while providing attractive returns to our shareholders. This is evidenced by the announcement on [ April ] of a significant increase to our dividend confirming our confidence in our growth strategy and future cash flow generation. I will now let Mohamed give you an update and more color on our strategy execution."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","Great. Thank you, Saeed. I am pleased that on my first call with you, we can show solid progress on our growth strategy. So I met many of you around the time of the IPO back in 2017 as well as our recent Capital Markets day, both in London and New York. S",1044,"Great. Thank you, Saeed. I am pleased that on my first call with you, we can show solid progress on our growth strategy. So I met many of you around the time of the IPO back in 2017 as well as our recent Capital Markets day, both in London and New York. So just to add a bit of background, I was closely involved in the ADNOC Distribution's IPO process, and I've delivered large-scale projects, transactions and partnerships as Senior Vice President of Group's strategic investments for the ADNOC Group. 
More recently, I was also Advisor to the ADNOC Distribution executive committee. This has helped provide me with in-depth knowledge of the ADNOC Distribution business, and more importantly, its plans for growth. ADNOC Distribution remains focused on delivering its ambitious strategy as well as building long-term shareholder value through the next phase of our growth. Now we've delivered strong first half year results with more to come. So let me begin by giving you an update on the retail fuel segment, our first strategic pillar. 
During the Capital Markets Day, we presented a refreshed investment proposition and we announced key initiatives to be implemented during the course of 2019 and beyond. So in line with earlier guidance that most of our new stations will open towards the end of 2019, I'm pleased to announce that we remain on track to open 20 to 30 new stations across the UAE this year, and we are clearly focused on accelerating our footprint in Dubai. 
So in the first half alone, we've opened 3 new stations in UAE and also pleased to announce that we have just opened 2 additional stations in Dubai this week, leading to a total of 6 service stations currently operating in Dubai. So our domestic network expansion track -- target is on track, and we've already identified an in-advance stage of execution on 18 new sites. 
Secondly, on Saudi Arabia, we will provide more color on our expansion plans and operating model during our Q3 results announcement. Our focus at present remains on our whole market. So in the second quarter, we launched a number of marketing promotions to address the anticipated lower retail fuel volume, and we've encouraged our customers to register in our Wallet mobile application towards the enhancement of our overall customer experience. We were pleased to see encouraging results, with fuel retail volumes stable in the second quarter of 2019 compared to the first quarter of 2019. 
On the Corporate segment, we've achieved 5.5% year-on-year growth in volumes in the first half of 2019. Now this was driven by increased sales of LPG, lubricants as well as base oil. So we expect this trend in corporate volumes to continue during 2019 following significant government investments in the economy. In the first half of 2019, we also entered the commercial [ 100 pound ] cylinder market in Dubai. Now we've chosen to enter the Dubai LPG market by partnering with established distributors, which now gives us a quick route to market and an effective entry. 
So moving on to nonfuel retail. First half of 2019, we opened 12 new convenience stores across the UAE. Now 10 of these were opened in the second quarter of 2019 at our existing retail sites. At the end of the first half 2019, we had a total of 262 convenience stores. Now 14 of these are Géant stores. Our -- the company's convenience stores revitalization programs which I alluded to yesterday, also offers our customers a significantly improved shopping experience. Pleased to say that this is on track and is contributing to positive convenience store performance. 
Improvements were also seen in gross margins and an overall uplift in the average basket size in the first half of 2019 compared to the first half of 2018. Sales revenue for convenience stores was up by 26.17% year-on-year in the first half of 2019. Gross profit increased by 28.9% and the average convenience store basket size increased by 6.8% year-on-year in first half 2019. 
Now this has been achieved through various factors: Improving the look and feel in our stores; better category management adapting to the demand of our customers; and the introduction of fresh grab-and-go concept; positive performance of Géant stores; rewards issued to our customers under the Flex Initiative; and an improved customer value proposition through the introduction of promotions supported by in-store marketing. 
So at the end of the second quarter 2019, ADNOC Flex Premium penetration was 15% to 20% on average, in-line with what we have seen in the first quarter. 
Now to sum up, we are going to continue our expansion, and we remain absolutely committed to our convenience store revitalization program in order to further improve our overall customer experience. 
So finally, let me give you an update on our cost efficiency initiative, The third pillar of our strategic plan. We have made significant progress in rationalizing our cash OpEx. I'm pleased to say that we've achieved $36 million in like-for-like OpEx savings in the first half of 2019 mainly driven by cost-optimization initiatives. Now we are on track to achieve around $15 million of OpEx savings in 2019 on a like-for-like basis. 
In terms of capital expenditure, so far, we've spent $38 million of capital in the first half of 2019. As I've stated, we remain focused on defining a network expansion allocation in the first half of 2019. As also mentioned earlier, our network rollout is scheduled for operational deployment towards the end of this year. In line with that, we expect to accelerate our capital expenditure in the second half of 2019. We maintained our guidance on capital expenditure for the year of up to $300 million to boost our network expansion in the UAE and internationally, with 20 to 30 new sites in the UAE, primarily in Dubai, to accelerate our convenience store expansion, to continue to significantly improve our customer experience and to invest in our IT infrastructure and digital initiatives. 
So in addition to the savings we have achieved so far, we see more room to achieve further capital expenditure efficiency in building new sites. So at this point, I will now hand over to Petri to present the highlights of our financial performance."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Many thanks, Mohamed, and good morning and good afternoon, everyone. So as Mohamed mentioned, the implementation of our initiatives have resulted in the achievement of positive results in the first half despite the decrease in overall fuel volumes. The fi",980,"Many thanks, Mohamed, and good morning and good afternoon, everyone. So as Mohamed mentioned, the implementation of our initiatives have resulted in the achievement of positive results in the first half despite the decrease in overall fuel volumes. The first half revenues reached [ USD 2.8 billion, ] down by 6.3% compared to the first half of 2018. This decline in revenues was mainly driven by lower fuel volumes sold as well as lower pump average prices. 
We used an example of a [ 95-gasoline ] obtain average pump prices for the first were 8.5% below first half [ 2018. ] Having said that, we saw a continuous improvement in our convenience stores ors business, with an increase in revenues by 26.7% in the first half to [ USD 207 million ] driven by the revitalization program that Mohamed was talking about. 
We do see green shoot in our corporate business. Volumes are up 5.5% year-on-year driven by increasing LPG and lubricant sales following significant government investments in the UAE economy. Our gross profit reached USD 675 million, down 5% compared to the previous year. The decrease is mainly due to the lower inventory gains in the first half, $33 million versus $58 million in 2018 in our regional business. 
Meanwhile, we achieved a 10% increase in our nonfuel gross profit mainly coming from the convenience stores in the first half compared to the 2018 period, and this is driven by the improved category management and our Fuel Rewards program. 
Our gross profit margin has also shown continued momentum and is still to an accelerating level, reaching 24.1% in the first half of 2019, up from 23.8% last year. And this is driven by lower revenue to lower pump prices compared with the secured minimum rates marching as per the Ministry of Energy Regulations in UAE. 
Finally, our total EBITDA for the first half reached $404 million, representing an increase of 2.8% year-on-year driven by the continued cost efficiencies, growth in the corporate segment and more dynamic product pricing. We've made significant progress in rationalizing our OpEx and have stated achieving USD 36 million in like-for-like OpEx savings in the first half driven by the cost optimization initiatives. Our cash opEx declined by 16.5% in the first half compared to first half last year, reaching $282 million. Excluding the inventory gains of $33 million for Q2 '19 and $58 million for the first half 2018, the underlying EBITDA grew by 11% year-on-year in the first half, once again, driven by the cost efficiency improvements across the whole business. 
Finally, we generated strong free cash flow measured as EBITDA minus CapEx. Free cash flow is up by 21% year-on-year to $366 million in the first half driven by also higher EBITDA and lower CapEx. 
Overall, fuel sales volumes were down in first half by 1.7% driven by a 3.5% decrease in fuel rate volumes mainly due to increased competition as well as the impact of the longer public holiday in the second quarter 2019 compared to the same period last year. 
On the Corporate segment side, volumes increased by 5.5% first half driven by the higher sales of the LPG, lubricant and base oil, as stated earlier. And finally, our [ EBIT ] and segment volumes sold to the strategic customers were marginally up in the first half [ 2019. ] Looking at the gross profit performance by segment. Gross profit for nonfuel retail mainly convenience stores increased by 10% year-on-year in the first half. This is reflecting our diversification strategy towards nonfuel retail and implementation of the new initiatives to improve customer experience, including a much more focused stores revitalization program as well as the positive contribution from our Fuel Rewards program. Our fuel retail gross profit decreased in the first half by 8.7% year-on-year. This is driven by the decrease in fuel retail volumes as well as lower inventory gains as stated earlier in the first half of 2019. In the Corporate segment, gross profit has increased in the first half by 12.3% and margin has increased from 18.5% to 19.8% on the back of the increase in volumes, better inventory management as well as more dynamic product pricing. 
And finally, our aviation gross profit has decreased in the first half by 8.7% year-on-year. This is driven by lower aviation services and civil aviation OpEx recovery under the arrangement we have with the parent company, ADNOC. 
Moving onto EBITDA. Total EBITDA for first half reached $404 million. This is an increase of 2.8% year-on-year. As stated earlier, continued cost efficiencies as well as Corporate segment performance is contributing to this increase, together with higher corporate volumes. 
Our fuel and nonfuel read compact EBITDA increased by 0.3% and Corporate segment by 29.4% year-on-year in the first half. Q2 2019 EBITDA grew -- growth was driven by retail segment, with an increase in EBITDA margins driven by cost efficiencies despite the lower volumes. Q2 '19 Corporate EBITDA was flat due to lower diesel margins partially offset by cost efficiencies and higher volumes. 
And finally, Aviation EBITDA was flat due to stable volumes and cost efficiencies partially offset by lower aviation services revenue. Excluding the inventory gains realized in the second quarter '19 and during the first half 2018, $33 million and $58 million, respectively, underlying EBITDA increased year-on-year by 11% during the first half. 
And finally, a few comments on our cash position and cash flow during the first half. Net cash generated from operating activities has increased mainly due to robust cash flow from operations partially offset by a decrease in working capital movement as a result of increase in our receivables. 
Overall, strong cash flow generation has resulted in a net to EBITDA ratio of only 0.02x at the end of June 2019. Let me now hand it back over to Saeed to present our outlook for current year."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Thanks to Mohamed and Petri. During the remainder of 2019, we are focused on acceleration of our domestic network expansion particularly in Dubai, defending our market share and the growth of our nonfuel business with the expansion of our Rewards program",128,"Thanks to Mohamed and Petri. During the remainder of 2019, we are focused on acceleration of our domestic network expansion particularly in Dubai, defending our market share and the growth of our nonfuel business with the expansion of our Rewards program to provide a superior experience to our customers. In the Corporate side, we have started sales of 25, 50 and 100 pound LPG cylinders to customers in Dubai. On nonfuel retail, our expansion will accelerate, and we would continue opening new Géant Express stores and will continue the rollout of our new baking and coffee offerings. Finally, cost efficiencies will remain a key pillar and focus throughout the year. 
This now concludes today's presentation and we are happy to take on any questions that you might have."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Operator","[Operator Instructions] We will take our first audio question from Sasikant Chilukuru from Morgan Stanley.",15,"[Operator Instructions] We will take our first audio question from Sasikant Chilukuru from Morgan Stanley."
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Analysts","I had 3 questions, please. The first question I had regarding ADNOC Flex. It's been a year since you've announced premium pricing. I was just wondering how the take-up has been? What the contribution of that was towards the gross profits in the retails fu",199,"I had 3 questions, please. The first question I had regarding ADNOC Flex. It's been a year since you've announced premium pricing. I was just wondering how the take-up has been? What the contribution of that was towards the gross profits in the retails fuel business? The second question I had was regarding the rollout of the retail service stations. You've talked about opening 3 new stations and additional 2 new additional stations in Dubai this week. I was just wondering of the remaining that you highlight, how many of them are under construction right now? Just looking at what you had presented in the Capital Markets Day, you had these 2 new sites near completion in the UAE when you had presented in May. I was just wondering how long does it take since you have a decision to completion? And finally, regarding CapEx. I was just wondering, of the remaining CapEx that you have, how much of this is directly catered to the expansion plan? Should -- if there is a rollover for next year, I was just wondering to check how much of the CapEx associated to the retail stations is in your $300 million plan?"
20726319,631495134,1791139,"Abu Dhabi National Oil Company for Distribution PJSC, Q2 2019 Earnings Call, Aug 05, 2019",2019-08-05,"Earnings Calls","Abu Dhabi National Oil Company for Distribution PJSC","Executives","Okay. I will answer on the Flex, and I believe the other 2 questions can be answered by Petri. Flex, we are gaging the penetration and the guidance that we have provided towards -- in the range of 15% to 20% penetration and the adoption. And we are curren",55,"Okay. I will answer on the Flex, and I believe the other 2 questions can be answered by Petri. Flex, we are gaging the penetration and the guidance that we have provided towards -- in the range of 15% to 20% penetration and the adoption. And we are currently on the 16% to 17% penetration."
